steam_id,TotalCaptures,TotalCapturesAll,TotalCapturesCoop,TotalHeroCaptures,TotalHeroCapturesAll,TotalHeroCapturesCoop,TotalKills,TotalKillsAll,TotalKillsCoop,TotalMVPs,TotalMVPsAll,TotalMVPsCoop
76561198300696829,1011.0,2046.0,1035.0,25.0,40.0,15.0,100450.0,200859.0,100409.0,60.0,139.0,79.0
76561198301297303,3.0,4.0,1.0,,,,75.0,76.0,1.0,,,
76561198302075381,2.0,2.0,,,,,52.0,52.0,,,,
76561198302891711,17.0,39.0,22.0,,2.0,2.0,382.0,537.0,155.0,,17.0,17.0
76561198304673611,7.0,25.0,18.0,,2.0,2.0,82.0,538.0,456.0,1.0,13.0,12.0
76561198305900125,,,,,,,1.0,6.0,5.0,,,
76561198305953079,13.0,13.0,,,,,71.0,74.0,3.0,5.0,6.0,1.0
76561198306770473,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
76561198307513359,1.0,16.0,15.0,,,,43.0,208.0,165.0,,3.0,3.0
76561198308769889,77.0,180.0,103.0,,10.0,10.0,3435.0,4165.0,730.0,113.0,183.0,70.0
76561198309175978,2.0,3.0,1.0,,,,11.0,36.0,25.0,,2.0,2.0
76561198309785078,14.0,21.0,7.0,,1.0,1.0,7.0,90.0,83.0,5.0,15.0,10.0
76561198311097449,1.0,243.0,242.0,,4.0,4.0,17.0,2844.0,2827.0,1.0,58.0,57.0
76561198312016877,2.0,11.0,9.0,,,,17.0,60.0,43.0,,3.0,3.0
76561198312931725,1.0,1.0,,,,,1.0,1.0,,,,
76561198313090595,33.0,45.0,12.0,,,,349.0,387.0,38.0,13.0,13.0,
76561198313358256,140.0,146.0,6.0,,,,2710.0,2748.0,38.0,61.0,61.0,
76561198314950349,,,,,,,13.0,13.0,,,,
76561198315915134,,2.0,2.0,,,,,21.0,21.0,,2.0,2.0
76561198316149856,,4.0,4.0,,,,,43.0,43.0,,1.0,1.0
76561198317039026,1.0,1.0,,,,,7.0,7.0,,,,
76561198318312863,1000.0,2000.0,1000.0,25.0,25.0,,100000.0,200000.0,100000.0,50.0,50.0,
76561198318586622,,,,,,,,5.0,5.0,,,
76561198319717033,3.0,4.0,1.0,,,,361.0,429.0,68.0,5.0,5.0,
76561198321863242,1.0,6.0,5.0,,2.0,2.0,10.0,86.0,76.0,,9.0,9.0
76561198322513801,,5.0,5.0,,2.0,2.0,,17.0,17.0,,2.0,2.0
76561198322728761,2.0,2.0,,,,,71.0,76.0,5.0,2.0,2.0,
76561198323490789,857.0,1038.0,181.0,42.0,59.0,17.0,16985.0,28465.0,11480.0,776.0,1977.0,1201.0
76561198324877025,,2.0,2.0,,1.0,1.0,,35.0,35.0,,5.0,5.0
76561198325440310,1.0,40.0,39.0,,2.0,2.0,77.0,578.0,501.0,3.0,21.0,18.0
76561198325742681,5.0,6.0,1.0,,,,163.0,171.0,8.0,3.0,3.0,
76561198325999190,,6.0,6.0,,2.0,2.0,,18.0,18.0,,2.0,2.0
76561198327098165,,1.0,1.0,,,,,12.0,12.0,,2.0,2.0
76561198329411475,37.0,66.0,29.0,,2.0,2.0,996.0,1920.0,924.0,17.0,31.0,14.0
76561198330530399,,3.0,3.0,,2.0,2.0,,23.0,23.0,,1.0,1.0
76561198333716819,,,,,,,11.0,11.0,,,,
76561198336140366,334.0,347.0,13.0,15.0,15.0,,1360.0,1649.0,289.0,165.0,168.0,3.0
76561198336217889,,,,,,,,1.0,1.0,,,
76561198337530528,,,,,,,8.0,8.0,,1.0,1.0,
76561198337865008,49.0,56.0,7.0,7.0,7.0,,140.0,332.0,192.0,16.0,18.0,2.0
76561198338681786,,,,,,,1.0,1.0,,,,
76561198339339036,49.0,49.0,,,,,1065.0,1067.0,2.0,13.0,13.0,
76561198340112576,,,,,,,,11.0,11.0,,,
76561198340889864,,,,,,,3.0,3.0,,,,
76561198341467327,,2.0,2.0,,2.0,2.0,,3.0,3.0,,2.0,2.0
76561198341793958,12.0,12.0,,,,,543.0,543.0,,1.0,1.0,
76561198341939549,19.0,47.0,28.0,,,,231.0,527.0,296.0,13.0,38.0,25.0
76561198342983601,1.0,1.0,,,,,20.0,20.0,,,,
76561198344081756,26.0,28.0,2.0,,,,1341.0,1352.0,11.0,16.0,16.0,
76561198344098389,2.0,2.0,,,,,57.0,74.0,17.0,3.0,3.0,
76561198344914462,54.0,63.0,9.0,2.0,3.0,1.0,277.0,576.0,299.0,37.0,45.0,8.0
76561198346059974,3.0,3.0,,,,,76.0,76.0,,1.0,1.0,
76561198347167354,1001.0,2001.0,1000.0,25.0,25.0,,100002.0,200002.0,100000.0,51.0,51.0,
76561198347541149,88.0,133.0,45.0,3.0,7.0,4.0,1524.0,2101.0,577.0,68.0,95.0,27.0
76561198348139688,,30.0,30.0,,1.0,1.0,11.0,521.0,510.0,,15.0,15.0
76561198348611463,,,,,,,,23.0,23.0,,3.0,3.0
76561198350961470,1.0,9.0,8.0,,,,11.0,66.0,55.0,,1.0,1.0
76561198351617388,50.0,67.0,17.0,5.0,5.0,,117.0,291.0,174.0,34.0,37.0,3.0
76561198352417844,4.0,39.0,35.0,,1.0,1.0,42.0,448.0,406.0,1.0,20.0,19.0
76561198353065360,,,,,,,14.0,14.0,,,,
76561198354027469,15.0,15.0,,,,,293.0,293.0,,5.0,5.0,
76561198355608818,,,,,,,8.0,8.0,,1.0,1.0,
76561198355834930,,3.0,3.0,,1.0,1.0,11.0,28.0,17.0,,1.0,1.0
76561198356199085,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198360041710,3.0,48.0,45.0,,1.0,1.0,16.0,1065.0,1049.0,2.0,50.0,48.0
76561198361062707,,2.0,2.0,,,,,7.0,7.0,,,
76561198361358564,,10.0,10.0,,,,,113.0,113.0,,,
76561198361779242,,,,,,,1.0,1.0,,,,
76561198362323367,,,,,,,,5.0,5.0,,1.0,1.0
76561198362470178,4.0,95.0,91.0,,1.0,1.0,70.0,963.0,893.0,1.0,9.0,8.0
76561198364566109,,4.0,4.0,,,,4.0,31.0,27.0,,2.0,2.0
76561198364955321,,,,,,,3.0,3.0,,,,
76561198365454705,,3.0,3.0,,,,1.0,43.0,42.0,,1.0,1.0
76561198367065181,2.0,2.0,,,,,23.0,23.0,,6.0,6.0,
76561198367650091,,4.0,4.0,,,,6.0,80.0,74.0,,,
76561198368175029,,,,,,,4.0,4.0,,1.0,1.0,
76561198369823498,,9.0,9.0,,1.0,1.0,,131.0,131.0,,3.0,3.0
76561198370000760,,5.0,5.0,,,,,76.0,76.0,,,
76561198372076569,,25.0,25.0,,1.0,1.0,,494.0,494.0,,17.0,17.0
76561198374800110,153.0,161.0,8.0,1.0,1.0,,1224.0,1289.0,65.0,31.0,38.0,7.0
76561198377134326,,,,,,,,5.0,5.0,,1.0,1.0
76561198377827851,7.0,44.0,37.0,,4.0,4.0,210.0,988.0,778.0,3.0,74.0,71.0
76561198379005857,,5.0,5.0,,,,,37.0,37.0,,4.0,4.0
76561198379255113,,,,,,,5.0,5.0,,,,
76561198380538487,1003.0,2067.0,1064.0,25.0,28.0,3.0,100026.0,201698.0,101672.0,50.0,72.0,22.0
76561198382390892,,,,,,,1.0,1.0,,,,
76561198382520148,4.0,22.0,18.0,,,,160.0,275.0,115.0,4.0,7.0,3.0
76561198384615246,24.0,67.0,43.0,1.0,15.0,14.0,140.0,1425.0,1285.0,15.0,65.0,50.0
76561198384760262,,1.0,1.0,,,,25.0,29.0,4.0,1.0,1.0,
76561198386499036,0.0,11.0,0.0,,3.0,3.0,7.0,135.0,0.0,,11.0,11.0
76561198392980517,1000.0,12.0,1000.0,25.0,1.0,,100000.0,213.0,100000.0,50.0,6.0,2.0
76561198393005716,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198393066471,,5.0,5.0,,1.0,1.0,122.0,177.0,55.0,1.0,3.0,2.0
76561198396870093,7.0,9.0,2.0,,,,208.0,249.0,41.0,,,
76561198397658078,,1.0,1.0,,1.0,1.0,17.0,34.0,17.0,1.0,3.0,2.0
76561198400727171,14.0,1544.0,1530.0,,53.0,53.0,199.0,17678.0,17479.0,2.0,207.0,205.0
76561198401274871,,,,,,,,3.0,3.0,,,
76561198401738332,1.0,5.0,4.0,,,,1.0,15.0,14.0,,,
76561198404224780,22.0,27.0,5.0,2.0,3.0,1.0,400.0,508.0,108.0,14.0,20.0,6.0
76561198407542476,,2.0,2.0,,,,,36.0,36.0,,2.0,2.0
76561198411126650,4.0,4.0,,,,,38.0,38.0,,,,
76561198413735489,48.0,48.0,,,,,957.0,957.0,,18.0,18.0,
76561198414781692,,,,,,,2.0,4.0,2.0,,,
76561198415375830,,,,,,,60.0,83.0,23.0,3.0,4.0,1.0
76561198416246843,8.0,27.0,19.0,,2.0,2.0,266.0,725.0,459.0,5.0,38.0,33.0
76561198418413826,1003.0,2010.0,1007.0,25.0,29.0,4.0,100094.0,200478.0,100384.0,55.0,72.0,17.0
76561198418483698,,42.0,42.0,,5.0,5.0,,570.0,570.0,,74.0,74.0
76561198418883498,6.0,33.0,27.0,,2.0,2.0,61.0,789.0,728.0,3.0,23.0,20.0
76561198419605429,3.0,4.0,1.0,,,,82.0,160.0,78.0,,,
76561198421072547,307.0,312.0,5.0,,,,3956.0,4026.0,70.0,66.0,66.0,
76561198425343899,1.0,1.0,,,,,23.0,23.0,,,,
76561198427161754,12.0,171.0,159.0,,25.0,25.0,93.0,2428.0,2335.0,1.0,113.0,112.0
76561198428919557,,,,,,,,4.0,4.0,,,
76561198429930071,3.0,38.0,35.0,,2.0,2.0,13.0,803.0,790.0,1.0,16.0,15.0
76561198431076173,10.0,11.0,1.0,1.0,1.0,,79.0,166.0,87.0,7.0,8.0,1.0
76561198437741857,,6.0,6.0,,2.0,2.0,,238.0,238.0,4.0,125.0,121.0
76561198441241516,,5.0,5.0,,,,1.0,38.0,37.0,,3.0,3.0
76561198443141313,3.0,5.0,2.0,,,,9.0,163.0,154.0,,1.0,1.0
76561198506487800,,8.0,8.0,,,,,237.0,237.0,,4.0,4.0
76561198522774768,,10.0,10.0,,3.0,3.0,,165.0,165.0,,5.0,5.0
76561198801311694,1.0,3.0,2.0,,,,,51.0,51.0,,,
76561198802077108,5.0,7.0,2.0,,,,10.0,31.0,21.0,1.0,1.0,
76561198805020179,12.0,41.0,29.0,,1.0,1.0,8354.0,9054.0,700.0,84.0,103.0,19.0
76561198807737351,23.0,45.0,22.0,,1.0,1.0,709.0,1166.0,457.0,19.0,29.0,10.0
76561198808626803,1.0,3.0,2.0,,,,17.0,84.0,67.0,1.0,1.0,
76561198813972239,774.0,808.0,34.0,24.0,39.0,15.0,3793.0,4347.0,554.0,459.0,497.0,38.0
76561198820262486,50.0,151.0,101.0,3.0,16.0,13.0,804.0,2348.0,1544.0,67.0,198.0,131.0
76561198821002625,1.0,1.0,,,,,2.0,2.0,,,,
76561198822895823,1.0,1.0,,1.0,1.0,,16.0,16.0,,,,
76561198828955058,3.0,9.0,6.0,,,,75.0,282.0,207.0,2.0,5.0,3.0
76561198829547481,3.0,149.0,146.0,,7.0,7.0,111.0,1976.0,1865.0,7.0,26.0,19.0
76561198830127423,1008.0,2031.0,1023.0,25.0,26.0,1.0,100249.0,201013.0,100764.0,51.0,57.0,6.0
76561198834624780,11.0,11.0,,,,,156.0,185.0,29.0,6.0,9.0,3.0
76561198841596194,2.0,5.0,3.0,,,,8.0,80.0,72.0,,1.0,1.0
76561198843527021,,,,,,,2.0,2.0,,,,
76561198843708674,2.0,2.0,,,,,13.0,13.0,,1.0,1.0,
76561198846385910,14.0,83.0,69.0,8.0,17.0,9.0,32.0,872.0,840.0,39.0,70.0,31.0
76561198847485378,14.0,15.0,1.0,3.0,4.0,1.0,60.0,107.0,47.0,14.0,16.0,2.0
76561198850857798,,7.0,7.0,,1.0,1.0,,159.0,159.0,,3.0,3.0
76561198853081788,51.0,51.0,,1.0,1.0,,749.0,749.0,,22.0,22.0,
76561198858926443,,19.0,19.0,,3.0,3.0,1.0,197.0,196.0,,15.0,15.0
76561198865014305,29.0,40.0,11.0,,,,156.0,222.0,66.0,18.0,24.0,6.0
76561198865105722,,19.0,19.0,,,,,357.0,357.0,,,
76561198866148707,1000.0,2001.0,1001.0,25.0,25.0,,100038.0,200040.0,100002.0,50.0,50.0,
76561198867093787,103.0,126.0,23.0,4.0,6.0,2.0,1159.0,2302.0,1143.0,61.0,89.0,28.0
76561198935052904,30.0,30.0,,,,,1421.0,1421.0,,4.0,4.0,
76561198970003197,,2.0,2.0,,,,15.0,148.0,133.0,,,
76561198982337352,11.0,55.0,44.0,,6.0,6.0,135.0,1432.0,1297.0,4.0,61.0,57.0
76561199015364122,,,,,,,87.0,87.0,,,,
76561199017213949,28.0,28.0,,,,,1707.0,1723.0,16.0,6.0,6.0,
76561199022657060,31.0,196.0,165.0,2.0,11.0,9.0,616.0,4691.0,4075.0,23.0,95.0,72.0
76561199141019197,41.0,441.0,400.0,,10.0,10.0,2970.0,5679.0,2709.0,21.0,143.0,122.0
76561199338017237,,1.0,1.0,,,,,5.0,5.0,,,
76561199511270511,504.0,1015.0,511.0,25.0,28.0,3.0,1070.0,51387.0,50317.0,81.0,104.0,23.0
