steam_id,STAT_ACTION_APPLY_MEDS_ON_SURVIVOR,STAT_ACTION_COOK_STEAK,STAT_ACTION_DRINK,STAT_ACTION_EAT,STAT_ACTION_EQUIP_GEAR,STAT_ACTION_GUT_DEER,STAT_ACTION_HANDCUFF_SURVIVOR,STAT_ACTION_IGNITE_FIRE_HAND_DRILL,STAT_ACTION_IGNITE_FIRE_MATCHBOX,STAT_ACTION_IGNITE_FIRE_ROAD_FLARE,STAT_ACTION_SHAVE,STAT_HEADSHOT_COUNT,STAT_INFECTED_HEADSHOT_COUNT,STAT_INFECTED_KILL_COUNT,STAT_INFECTED_SOLDIER_KILL_COUNT,STAT_SURVIVOR_HEADSHOT_COUNT,STAT_SURVIVOR_KILL_MAX_DIST,STAT_SURVIVOR_MELEE_KILL_COUNT
76561198326926385,,,4.0,4.0,8.0,,,,,,,2.0,2.0,14.0,,,,1.0
76561198332068734,,,5.0,14.0,,,,,,,,,,26.0,,,,
76561198335842226,,,,,,,,,,,,,,3.0,,,,
76561198337865008,2.0,,9.0,40.0,187.0,,,,,,,3.0,3.0,69.0,,,,2.0
76561198354027469,,,10.0,26.0,,,,,1.0,,,1.0,1.0,53.0,,,2.2197206020355225,
76561198355524362,2.0,,82.0,168.0,1887.0,,,,,,3.0,137.0,136.0,626.0,180.0,1.0,15.272476196289062,
76561198356199085,30.0,,,,,,10.0,,,,,20.0,,1.0,1.0,,300.0,15.0
76561198356304129,,,21.0,35.0,330.0,,,,,,,7.0,7.0,85.0,,,1.2421456575393677,1.0
76561198357400124,,,2.0,2.0,,,,,,,,,,1.0,,,,
76561198358508379,1.0,,10.0,13.0,,,,,,,,2.0,2.0,29.0,,,,
76561198358841175,,,1.0,3.0,,,,,,,,,,12.0,,,,
76561198359377479,,,3.0,5.0,,,,,,,,,,34.0,,,,
76561198366778492,,,14.0,37.0,28.0,,,,,,,11.0,11.0,74.0,,,,
76561198371899387,,4.0,12.0,21.0,872.0,,,,,,1.0,3.0,3.0,19.0,1.0,,,
76561198374084851,,,,4.0,,,,,,,,,,5.0,,,,
76561198375674935,,4.0,3.0,23.0,27.0,,,1.0,,,,2.0,2.0,25.0,,,,
76561198379255113,,,1.0,3.0,,,,,,,,7.0,7.0,17.0,,,,
76561198382549552,,,29.0,97.0,797.0,,,,,,,33.0,31.0,118.0,7.0,2.0,28.063549041748047,3.0
76561198389301280,,,,1.0,,,,,,,,,,,,,,
76561198389874525,,,3.0,5.0,,,,1.0,,,,,,18.0,,,,
76561198395521605,,,6.0,11.0,,,,,,,,1.0,1.0,39.0,,,37.13042449951172,
76561198398976338,,,3.0,6.0,13.0,,,,,,,,,16.0,,,,
76561198401790115,,,4.0,15.0,55.0,,,,,,,,,12.0,1.0,,,
76561198402924092,2.0,20.0,372.0,906.0,5585.0,,4.0,7.0,,,,54.0,50.0,1026.0,74.0,4.0,33.75628662109375,6.0
76561198404910580,,,3.0,7.0,1.0,,,,,,,1.0,1.0,11.0,,,,
76561198411126650,,,,2.0,23.0,,,,,,,2.0,2.0,20.0,,,,
76561198413710974,,,,2.0,9.0,,,,,,,,,10.0,,,,
76561198417599208,,,54.0,98.0,1117.0,,,,,1.0,,143.0,143.0,527.0,10.0,,,1.0
76561198418883498,8.0,19.0,114.0,225.0,4859.0,1.0,2.0,4.0,1.0,,1.0,186.0,181.0,952.0,361.0,5.0,76.9001693725586,5.0
76561198425343899,,,18.0,25.0,821.0,,,,,,,1.0,,36.0,,1.0,7.432429313659668,
76561198432095290,,,,10.0,,,,,,,,,,11.0,1.0,,,
76561198449418785,,,7.0,30.0,20.0,,,,,,,,,49.0,6.0,,,
76561198453532973,,11.0,120.0,252.0,7372.0,,1.0,1.0,,,1.0,53.0,52.0,652.0,59.0,1.0,23.940048217773438,
76561198453884068,,,1.0,7.0,22.0,,,,,,,1.0,1.0,34.0,,,7.335327625274658,
76561198796440936,2.0,,107.0,317.0,4570.0,,,,,,1.0,280.0,272.0,1462.0,186.0,8.0,158.0631866455078,4.0
76561198797824780,,,5.0,6.0,,,,,,,,10.0,10.0,62.0,4.0,,,1.0
76561198805802494,,,63.0,129.0,770.0,,,1.0,,,1.0,30.0,30.0,298.0,21.0,,,
76561198813972239,,,10.0,47.0,172.0,,,,,,,,,40.0,1.0,,,
76561198815642408,,,6.0,18.0,8.0,,,,,,,2.0,2.0,32.0,,,,
76561198819544400,,,5.0,4.0,,,,,,,,,,12.0,,,,
76561198822895823,,,3.0,26.0,60.0,,,,,,,9.0,9.0,54.0,,,,1.0
76561198823541120,,,,1.0,,,,,,,,,,3.0,3.0,,,
76561198828952998,,,1.0,9.0,,,,,,,,,,6.0,,,,
76561198842660973,,,2.0,3.0,,,,,,,,,,4.0,,,,
76561198843001098,,,,1.0,,,,,,,,,,2.0,,,,
76561198844626550,3.0,3.0,69.0,272.0,1260.0,1.0,,2.0,,,1.0,312.0,310.0,647.0,89.0,2.0,5.137156009674072,2.0
76561198852933293,1.0,,8.0,31.0,95.0,,,,,,,1.0,1.0,74.0,5.0,,,1.0
76561198853315220,,,,,,,,,,,,,,6.0,,,,
76561198853805414,,,2.0,4.0,,,,,,,,,,21.0,,,,
76561198853924016,,,1.0,,,,,,,,,,,1.0,,,,
76561198865044176,,,,1.0,,,,,,,,,,1.0,,,,
76561198865936437,,,1.0,20.0,33.0,,,,,,,30.0,30.0,59.0,17.0,,,
76561198868995801,,8.0,27.0,39.0,882.0,,,1.0,,,,18.0,17.0,176.0,20.0,1.0,6.492060661315918,4.0
76561198869997016,,,3.0,9.0,,,,,,,,,,15.0,,,,
76561198871415569,,,41.0,106.0,161.0,,,,1.0,,1.0,63.0,63.0,363.0,52.0,,39.12392044067383,3.0
76561198873541157,,,4.0,22.0,,,,,,,,,,35.0,,,,2.0
76561198875640962,,,,,,,,,,,,,,4.0,,,,
76561198889064261,30.0,,,1.0,,,10.0,,,,,20.0,,2.0,1.0,,300.0,15.0
76561198891184043,,4.0,19.0,50.0,233.0,,,,1.0,,,48.0,48.0,115.0,6.0,,,
76561198892809558,,,,2.0,,,,,,,,,,4.0,,,,
76561198927462262,,,,5.0,14.0,,,,,,,3.0,3.0,16.0,,,,
76561198929636004,,,7.0,27.0,52.0,,,,,,,1.0,,35.0,5.0,1.0,5.980971813201904,3.0
76561198934355728,,4.0,6.0,28.0,200.0,,,1.0,,,,7.0,7.0,24.0,6.0,,,
76561198943812581,,,1.0,2.0,,,,,,,,,,11.0,,,,
76561198971190763,,,,5.0,186.0,,,,,,,1.0,1.0,15.0,4.0,,,
76561198981224130,,16.0,93.0,148.0,3429.0,1.0,,2.0,1.0,,,5.0,5.0,133.0,11.0,,5.762546539306641,5.0
76561198982409219,,2.0,38.0,72.0,110.0,,,,,,,63.0,63.0,218.0,31.0,,6.152600288391113,2.0
76561198982945638,,3.0,8.0,40.0,416.0,,,,,,,8.0,8.0,103.0,10.0,,,1.0
76561198984857970,30.0,4.0,24.0,46.0,1204.0,,10.0,2.0,,,,26.0,5.0,58.0,2.0,2.0,300.0,15.0
76561198996957638,,,,3.0,27.0,,,,,,,,,16.0,,,,
76561198997677754,,,8.0,26.0,42.0,,,,,,,3.0,3.0,33.0,,,,
76561198999643976,,,1.0,1.0,,,,,,,,,,6.0,,,,
76561199003402575,,,1.0,20.0,16.0,,,,,,,,,20.0,,,,
76561199003521692,1.0,,21.0,58.0,35.0,,,,,,1.0,19.0,19.0,104.0,2.0,,,2.0
76561199006647210,,,2.0,14.0,45.0,,,,,,,,,13.0,,,,
76561199015291064,,,11.0,45.0,60.0,,,,,,,,,59.0,,,,1.0
76561199015364122,30.0,,3.0,22.0,1.0,,10.0,,,1.0,1.0,38.0,38.0,63.0,2.0,,300.0,15.0
76561199017213949,,,1.0,6.0,157.0,,,,,,,4.0,4.0,11.0,,,,
76561199017642561,,,,,,,,,,,,,,1.0,,,,
76561199024253210,,,,,,,,,,,,,,5.0,,,,
76561199025723768,,8.0,26.0,66.0,694.0,,,,,1.0,,53.0,53.0,230.0,36.0,,,
76561199027038685,2.0,18.0,23.0,87.0,390.0,,,3.0,1.0,,,1.0,1.0,162.0,,,,2.0
76561199032068141,,,,3.0,,,,,,,,,,6.0,,,,
76561199039403421,,,,2.0,,,,,,,,,,,,,,
76561199044132583,1.0,,13.0,65.0,940.0,,,,,,1.0,16.0,16.0,99.0,12.0,,53.34922790527344,
76561199044698449,,,,1.0,,,,,,,,,,,,,,
76561199044994282,,11.0,14.0,36.0,31.0,,,,3.0,,,40.0,40.0,140.0,41.0,,,
76561199051185640,,,,2.0,68.0,,,,,,,,,6.0,,,,
76561199053622361,,1.0,28.0,61.0,496.0,,,,,,,3.0,2.0,64.0,3.0,1.0,8.08791732788086,
76561199055366900,30.0,,,5.0,,,,,,,,,,3.0,,,,15.0
76561199056188479,1.0,21.0,111.0,338.0,1668.0,,,8.0,,,,138.0,136.0,849.0,124.0,2.0,170.3706512451172,1.0
76561199057175406,5.0,,17.0,38.0,327.0,,2.0,,,,,20.0,20.0,172.0,41.0,,,1.0
76561199066803777,,,2.0,25.0,13.0,,,,,,,2.0,1.0,78.0,6.0,1.0,4.100948810577393,
76561199071924228,,,,,,,,,,,,,,1.0,,,,
76561199074688008,,,4.0,6.0,,,,,,,,,,12.0,,,,
76561199074950589,,6.0,30.0,134.0,3332.0,1.0,,,,,,33.0,33.0,251.0,57.0,,177.24998474121094,3.0
76561199077652333,1.0,,35.0,75.0,1082.0,,,,,,1.0,57.0,57.0,318.0,47.0,,31.2803955078125,
76561199083463638,,3.0,24.0,58.0,747.0,,,1.0,,,,105.0,105.0,235.0,69.0,,1.8550422191619873,
76561199092329176,,,2.0,5.0,,,,,,,,,,17.0,,,,
76561199110616436,3.0,,26.0,65.0,421.0,,,,1.0,,,7.0,7.0,188.0,34.0,,,
76561199127465874,,,1.0,16.0,292.0,,,,,,,2.0,2.0,30.0,13.0,,,
76561199130767381,10.0,23.0,231.0,435.0,2119.0,,3.0,10.0,4.0,,3.0,51.0,51.0,1081.0,76.0,,102.2450942993164,
76561199133257786,30.0,,15.0,35.0,158.0,,10.0,,,,,20.0,,85.0,10.0,,300.0,15.0
76561199136247741,,18.0,77.0,315.0,761.0,2.0,,1.0,,,,312.0,312.0,799.0,244.0,,40.33791732788086,3.0
76561199163739443,,,30.0,116.0,560.0,,,,,,,14.0,14.0,209.0,13.0,,9.361491203308105,
76561199173281065,,,9.0,39.0,310.0,,,,,,,3.0,3.0,98.0,,,,4.0
76561199182550872,,,1.0,6.0,79.0,,,,,,,,,7.0,,,,
76561199182567239,,,2.0,8.0,,,,,,,,1.0,1.0,10.0,,,,
76561199183893519,,,1.0,3.0,,,,,,,,,,8.0,,,,
76561199215150733,,,5.0,17.0,62.0,,,,,,,,,11.0,,,,
76561199216630763,,,106.0,264.0,502.0,,,,,,,135.0,135.0,499.0,53.0,,,2.0
76561199226574360,30.0,,19.0,43.0,784.0,,10.0,,,,1.0,2.0,2.0,174.0,7.0,,300.0,15.0
76561199232038592,,,9.0,34.0,,,,,,,,,,51.0,,,,
76561199278003418,,,13.0,18.0,2.0,,,,,,,8.0,8.0,51.0,18.0,,,1.0
76561199356365988,,,1.0,4.0,57.0,,,,,,,,,16.0,10.0,,,
76561199427084650,,,,5.0,,,,,,,,,,18.0,,,,
76561199427207836,,,,4.0,,,,,,,,,,13.0,,,,
76561199466591640,,,,1.0,,,,,,,,,,1.0,,,,
76561199483036791,,,10.0,44.0,4.0,,,,,,,14.0,14.0,110.0,3.0,,5.4595513343811035,3.0
76561199499754076,,,22.0,58.0,1754.0,,,1.0,,,,1.0,1.0,96.0,,,,
76561199505174900,13.0,2.0,266.0,1321.0,4296.0,1.0,2.0,1.0,,,,911.0,837.0,1487.0,431.0,74.0,978.945068359375,8.0
76561199524708938,,,8.0,17.0,35.0,,,,,,,4.0,4.0,54.0,,,,1.0
76561199528642000,,17.0,237.0,456.0,676.0,6.0,,4.0,,,1.0,57.0,57.0,351.0,84.0,,6.721250057220459,
